releaserUrl,releaser,platform
https://id.tudou.com/i/UNDk4OTEzNTI0NA==?fr=0&ud=XKDGcHJFxdYDAKa7B6u1hxQ+,《经视直播》,new_tudou
https://view.inews.qq.com/media/5939134,《市场零距离》,腾讯新闻
https://id.tudou.com/i/UMjI5NzExOTY4,《首席评论》,new_tudou
https://view.inews.qq.com/media/5939697,《央视财经评论》,腾讯新闻
http://n.miaopai.com/personal/fVUIFKaTdU~X9MMGQZ3Ljg__.htm,《直播港澳台》,miaopai
https://id.tudou.com/i/UMjk5OTUwODky?fr=0&ud=Wl80K6vzMLMDAH5aOr26ZP39,《直播港澳台》,new_tudou
https://www.toutiao.com/c/user/6739299957/#mid=6739299957,12点报道,toutiao
http://n.miaopai.com/personal/U2SCOFsPr3NBJWT2V1t4vg__.htm,12点报道,miaopai
http://n.miaopai.com/personal/2rzaSceuU20g4d0TUNx5KA__.htm,12点报道8ldo,miaopai
https://www.toutiao.com/c/user/59351402622/#mid=1565422203839489,1818黄金眼,toutiao
http://n.miaopai.com/personal/FFvUTvXPPfN3n6jC.htm,1818黄金眼,miaopai
http://v.qq.com/vplus/8195168d5cdec82cbcfe344f11a106c5#uin=8195168d5cdec82cbcfe344f11a106c5,1818黄金眼,腾讯视频
https://id.tudou.com/i/UNDgxOTA0NDI1Ng==?fr=0&ud=Wl80K6vzMLMDAH5aOr26ZP3,1818黄金眼,new_tudou
无,1818在路上,抖音
https://id.tudou.com/i/UMjg5NDUxMTMwMA==?fr=0&ud=Wl80K6vzMLMDAH5aOr26ZP39,1818在路上,new_tudou
https://id.tudou.com/i/UNjEzNDkwNzI=,19点体育新闻,new_tudou
http://n.miaopai.com/personal/vEecvyWE-Da5PJSr.htm?u_atoken=0bc01f1b-a2f0-4187-ba10-7b4401ca4de3&u_asession=01fTlmbx7kNbQC_QuOtg2GQRIdt5hBA0DSQVOWGPF4A56daBWt7Gl4HC_Oer_M65kDX0KNBwm7Lovlpxjd_P_q4JsKWYrT3W_NKPr8w6oU7K8kke3kMkRcbh2CE67hwXlKIVjF9w8XZd1Q_b138IY8oWBkFo3NEHBv0PZUm6pbxQU&u_asig=05CVKgncGS6zO5dOpiej7tL5JChJPRFJLOv9X9b-OO0caYgDvsg6UhMg92gni9QOsnJy1asZd3ySP6mtK6a8uF8foTEuD-UT6yW0YEdt5aFV5caBXzexb6DJm-G2Q9Kz_a48SOC544Wywhj1cXQyMJ1oOAp7_mYuFfn6KzGGWkUQ_9JS7q8ZD7Xtz2Ly-b0kmuyAKRFSVJkkdwVUnyHAIJzZymUmzI5BWz7ZF4J4WCUi7Ll9VYcNpRKTx4eEa59wO0mhl7vlADyQtfoEqayvPOhu3h9VXwMyh6PgyDIVSG1W_sJZU3xgxPWaqdgKMvsXrZwkxcAeUYBKatklk8HyE6AK7_fvMc8cfuwhwrDUsQIvokizZKlq5n5V927Juh1rJmmWspDxyAEEo4kbsryBKb9Q&u_aref=,9号直播间,miaopai
https://www.toutiao.com/c/user/105068815539/#mid=1616908114489358,AHTV第一时间,toutiao
https://id.tudou.com/i/UNjI2MDYzMzgxMg,AHTV第一时间,new_tudou
https://c.m.163.com/news/sub/T1489652076629.html,AHTV第一时间,网易新闻
无,AHTV法治时空,抖音
https://www.toutiao.com/c/user/6367839506/#mid=1563824042827778,AHTV法治时空,toutiao
http://n.miaopai.com/personal/b1HBtHUfnZRSIKt2UdKG9A__.htm,AHTV沸闻天下,miaopai
http://n.miaopai.com/personal/tbEH3ZOyMx8XtFBVtSSVJg__.htm,AHTV经视1时间,miaopai
http://v.qq.com/vplus/32d58bc04aa842e9,BTV北京您早,腾讯视频
https://view.inews.qq.com/media/5743210,BTV北京您早,腾讯新闻
http://n.miaopai.com/personal/P4DjTA2JUAHOYdfp5jbMyQ__.htm,BTV北京新闻,miaopai
http://v.qq.com/vplus/09220c9e54aa1ca6b87401b4530cff9a,BTV北京新闻,腾讯视频
https://view.inews.qq.com/media/5740687,BTV北京新闻,腾讯新闻
