releaser,platform,releaserUrl
smgbb新闻,new_tudou,https://id.tudou.com/i/UMzI5NzMwNzE2/videos?spm=a2hzp.8244740.0.0
Gamefy每日游报,new_tudou,https://id.tudou.com/i/UNTc4NTc2ODg4/videos?spm=a2hzp.8244740.0.0
看看新闻Knews,new_tudou,https://id.tudou.com/i/UNDcwNjk3NTQ4MA==/videos?spm=a2hzp.8244740.0.0
SMGBB娱乐,new_tudou,https://id.tudou.com/i/UNjEzNDg2MzI=/videos?spm=a2hzp.8244740.0.0
娱乐星天地,new_tudou,https://id.tudou.com/i/UMzcyNTE2OTE2/videos?spm=a2hzp.8244740.0.0
财经早班车,new_tudou,https://id.tudou.com/i/UNjEzNDkxMzY=/videos?spm=a2hzp.8244740.0.0
东方看大剧,new_tudou,https://id.tudou.com/i/UNDU2NzgxODMwMA==/videos?spm=a2hzp.8244740.0.0
浙江广电集团,new_tudou,https://id.tudou.com/i/UMTIzMDc5NzI4/videos?spm=a2hzp.8244740.0.0
浙江卫视,new_tudou,https://id.tudou.com/i/UNDY1Njk0NDYwNA==/videos?spm=a2hzp.8244740.0.0
新京报动新闻,new_tudou,https://id.tudou.com/i/UMzA2MjgxMTQ0/videos?spm=a2hzp.8244740.0.0
北京电视台,new_tudou,https://id.tudou.com/i/UMTA5NTc5NzY=/videos?spm=a2hzp.8244740.0.0
BTV养生堂,new_tudou,https://id.tudou.com/i/UNDY1NjA1MTg1Ng==/videos?spm=a2hzp.8244740.0.0
第一财经,腾讯视频,http://v.qq.com/vplus/yicai
剧说有毒,腾讯视频,http://v.qq.com/vplus/31075d6c325c8a63f9bb462829b154a5#uin=31075d6c325c8a63f9bb462829b154a5
动感101TV,腾讯视频,http://v.qq.com/vplus/shfm1017
东方卫视,腾讯视频,http://v.qq.com/vplus/acffc2736beb5bb5a25e9827b38c171e#uin=acffc2736beb5bb5a25e9827b38c171e
SMG金色频道,腾讯视频,http://v.qq.com/vplus/jsjk
BesTV百视通,腾讯视频,http://v.qq.com/vplus/19a543224b50a716f893016a79843b0d#uin=19a543224b50a716f893016a79843b0d
极速汽车频道,腾讯视频,http://v.qq.com/vplus/max_channel
澎湃新闻,腾讯视频,http://v.qq.com/vplus/8aca21d6865aec5391069f1800862a96#uin=8aca21d6865aec5391069f1800862a96
梨视频,腾讯视频,http://v.qq.com/vplus/ea1b1b8626787db2d198c58fb86eb4dc#uin=ea1b1b8626787db2d198c58fb86eb4dc
一手Video,腾讯视频,http://v.qq.com/vplus/4a0e683e3c5417861186e4b5a052c637#uin=4a0e683e3c5417861186e4b5a052c637
时间视频,腾讯视频,http://v.qq.com/vplus/91795d98da0c99b2cfd603be13eae39a#uin=91795d98da0c99b2cfd603be13eae39a
时间新闻视频,腾讯视频,http://v.qq.com/vplus/d3a7ba19f6931c0167d5bd9617482a49#uin=d3a7ba19f6931c0167d5bd9617482a49
时间国际视频,腾讯视频,http://v.qq.com/vplus/0dce19518f49b981a25e9827b38c171e#uin=0dce19518f49b981a25e9827b38c171e
时间财经,腾讯视频,http://v.qq.com/vplus/4773976e8a31501073641ebb97994585#uin=4773976e8a31501073641ebb97994585
时间直播,腾讯视频,http://v.qq.com/vplus/84587e58bb7b9bbdbcfe344f11a106c5#uin=84587e58bb7b9bbdbcfe344f11a106c5
新京报,腾讯视频,http://v.qq.com/vplus/d2f83f0b5d945e5eabe3c6c6aff3832c#uin=d2f83f0b5d945e5eabe3c6c6aff3832c
新京报动新闻,腾讯视频,http://v.qq.com/vplus/bjnewsvideo
我们视频,腾讯视频,http://v.qq.com/vplus/wevideo
1818黄金眼,腾讯视频,http://v.qq.com/vplus/8195168d5cdec82cbcfe344f11a106c5#uin=8195168d5cdec82cbcfe344f11a106c5
中国蓝TV,腾讯视频,http://v.qq.com/vplus/1b4c3d589b9eb98bcea6582c984aec6e#uin=1b4c3d589b9eb98bcea6582c984aec6e
BTV红绿灯,腾讯视频,http://v.qq.com/vplus/401f4d4a8211086de7db6985fbb6bbc6#uin=401f4d4a8211086de7db6985fbb6bbc6
BTV北京您早,腾讯视频,http://v.qq.com/vplus/32d58bc04aa842e9#uin=32d58bc04aa842e9
生活这一刻,腾讯视频,http://v.qq.com/vplus/729dd739f29a177c478b8fdb08d871fa#uin=729dd739f29a177c478b8fdb08d871fa
BTV特别关注,腾讯视频,http://v.qq.com/vplus/d3ea88508264f718ced49e3d6d74a98f#uin=d3ea88508264f718ced49e3d6d74a98f
看看新闻,toutiao,https://www.toutiao.com/c/user/5839829632/#mid=5839829632
Knews环球交叉点,toutiao,https://www.toutiao.com/c/user/50590890693/#mid=50592112825
五星体育,toutiao,https://www.toutiao.com/c/user/59555029070/#mid=1566453892346881
Knews交叉点评,toutiao,https://www.toutiao.com/c/user/58368304438/#mid=1562470237212674
剧说有毒,toutiao,https://www.toutiao.com/c/user/59943259481/#mid=1566797433808897
职道,toutiao,https://www.toutiao.com/c/user/100114488151/#mid=1603239128630276
东方财经浦东频道,toutiao,https://www.toutiao.com/c/user/53586272587/#mid=1560477803318273
澎湃新闻,toutiao,https://www.toutiao.com/c/user/51045089537/#mid=51045089537
时间视频,toutiao,https://www.toutiao.com/c/user/57555549934/#mid=1561448453388290
时间直播,toutiao,https://www.toutiao.com/c/user/77836118855/#mid=1585301958421518
时间财经,toutiao,https://www.toutiao.com/c/user/57282363304/#mid=1561378003900418
时间新闻视频,toutiao,https://www.toutiao.com/c/user/63001432394/#mid=1572519329858573
新京报动新闻,toutiao,https://www.toutiao.com/c/user/4983314259/#mid=4983314259
中国蓝TV,toutiao,https://www.toutiao.com/c/user/5768061262/#mid=5768061262
新闻深呼吸,toutiao,https://www.toutiao.com/c/user/6093972515/#mid=6103199481
经视新闻,toutiao,https://www.toutiao.com/c/user/6431164107/#mid=6431164107
爱看中国蓝,toutiao,https://www.toutiao.com/c/user/68721103144/#mid=1578233956135949
浙江民生,toutiao,https://www.toutiao.com/c/user/69948943850/#mid=1579210229702670
BTV新闻,toutiao,https://www.toutiao.com/c/user/5577050366/#mid=5580129726
BTV之档案,toutiao,https://www.toutiao.com/c/user/103453483766/#mid=1609498289624077
BTV青年,toutiao,https://www.toutiao.com/c/user/103451383833/#mid=1609495829865486
生活这一刻,toutiao,https://www.toutiao.com/c/user/63827613785/#mid=1574678736629773
BTV科教频道,toutiao,https://www.toutiao.com/c/user/103448858487/#mid=1609493467413512
BTV养生堂,toutiao,https://www.toutiao.com/c/user/6635907835/#mid=6636029620
北京卫视我是大医生,toutiao,https://www.toutiao.com/c/user/52130016241/#mid=52130016241
BTV每日文娱播报,toutiao,https://www.toutiao.com/c/user/103274846442/#mid=1609491534268430
BTV财经,toutiao,https://www.toutiao.com/c/user/83271507361/#mid=1588722031292420
创意中国,toutiao,https://www.toutiao.com/c/user/72423947454/#mid=1581653025821709
