releaser,releaserUrl,platform
江苏广电总台,https://id.tudou.com/i/UMzg5MDgwMDQ=/videos?,new_tudou
最强大脑,https://id.tudou.com/i/UMTgzNzgyMTc5Ng==/videos?,new_tudou
蒙面唱将猜猜猜,https://id.tudou.com/i/UNDg4MDkyMjA4OA==/videos?,new_tudou
江苏卫视非诚勿扰,https://id.tudou.com/i/UNDg2MTMwMzc1Ng==/videos?,new_tudou
江苏卫视春晚,https://id.tudou.com/i/UMjg4ODAyMzk2NA==/videos?,new_tudou
荔枝新闻,https://id.tudou.com/i/UNDY1Njk1NjUxMg==/videos?,new_tudou
江苏卫视跨年,https://id.tudou.com/i/UMTk3NjA1MDg2MA==/videos?,new_tudou
芒果都市,https://id.tudou.com/i/UNTUzMTU1ODg2OA==/videos?,new_tudou
湖南卫视春晚,https://id.tudou.com/i/UNTQwMzQ1NjgwNA==/videos?,new_tudou
我想和你唱官方,https://id.tudou.com/i/UNDI5Mzg0NTgyNA==/videos?,new_tudou
湖南卫视跨年晚会,https://id.tudou.com/i/UNTQwMzU5NDQwNA==/videos?,new_tudou
湖南卫视,https://id.tudou.com/i/UNTkzNzM3NjQxMg==/videos?,new_tudou
爸爸去哪儿,https://id.tudou.com/i/UNDAyNjA3NjUyMA==/videos?,new_tudou
湖南经视频道,https://id.tudou.com/i/UNDE5ODYxMDMy/videos?,new_tudou
金鹰卡通官方频道,https://id.tudou.com/i/UMzA2Njg1ODI2MA==/videos?,new_tudou
向往的生活,https://id.tudou.com/i/UNDY1NjEwNzQyNA==/videos?,new_tudou
我是大美人,https://id.tudou.com/i/UMTQ2ODkzMTUy/videos?,new_tudou
湖南经视,https://id.tudou.com/i/UNTUyNzM2NzQ0OA==/videos?,new_tudou
妈妈是超人,https://id.tudou.com/i/UNDY1NzQ1NTA0OA==/videos?,new_tudou
声临其境,https://id.tudou.com/i/UNDk5MTg1NDQ3Mg==/videos?,new_tudou
湖南电影频道官方,https://id.tudou.com/i/UNDYxNzc0NzY5Mg==/videos?,new_tudou
寻情记视频,https://id.tudou.com/i/UNTQwMjQzNzkyNA==/videos?,new_tudou
Hitao越淘越开心,https://id.tudou.com/i/UMzExNjQxODAw/videos?,new_tudou
芒果TV,https://id.tudou.com/i/UNDY1NjU2MjAyNA==/videos?,new_tudou
中国有瑜伽,https://id.tudou.com/i/UNTU1MTU1NzQ4NA==/videos?,new_tudou
湖南卫视亲亲我的宝贝,https://id.tudou.com/i/UNTQ1NTY5MzQ4MA==/videos?,new_tudou
湖南国际频道中国符号栏目组,https://id.tudou.com/i/UMzQ0MDkwODczNg==/videos?,new_tudou
湖南都市世界大不同,https://id.tudou.com/i/UNTUzMTEwMDQxMg==/videos?,new_tudou
童心初演,https://id.tudou.com/i/UNTc2NTA3NTE1Mg==/videos?,new_tudou
歌手官方,https://id.tudou.com/i/UNTM2ODYyMzYwNA==/videos?,new_tudou
湖北卫视剧委会,https://id.tudou.com/i/UNDk5MTc5MjM1Ng==/videos?,new_tudou
湖北卫视,https://id.tudou.com/i/UMjY0MDIyODg=/videos?,new_tudou
湖北卫视非正式会谈,https://id.tudou.com/i/UNDk3MjI0Mzg5Mg==/videos?,new_tudou
湖北卫视大揭秘,https://id.tudou.com/i/UNDk3MDA3OTc0OA==/videos?,new_tudou
湖北卫视调解面对面,https://id.tudou.com/i/UNDkyNDU5NjYwNA==/videos?,new_tudou
湖北卫视生活帮,https://id.tudou.com/i/UNDk2NDkzODMxMg==/videos?,new_tudou
湖北卫视大王小王,https://id.tudou.com/i/UNDkxMzczNjc1Mg==/videos?,new_tudou
湖北生活TV,https://id.tudou.com/i/UNTQ3MDUwMTgzNg==/videos?,new_tudou
《经视直播》,https://id.tudou.com/i/UNDk4OTEzNTI0NA==/videos?,new_tudou
帮女郎在行动,https://id.tudou.com/i/UNTg3ODM1OTAzMg==/videos?,new_tudou
湖北卫视非正式课堂,https://id.tudou.com/i/UNTg0ODYyNzU4NA==/videos?,new_tudou
smgbb新闻,https://id.tudou.com/i/UMzI5NzMwNzE2/videos?,new_tudou
smgbb,https://id.tudou.com/i/UMjAyMDQxOTI=/videos?,new_tudou
SMGBB娱乐,https://id.tudou.com/i/UNjEzNDg2MzI=/videos?,new_tudou
东方卫视欢乐喜剧人,https://id.tudou.com/i/UMzMyNzEwNDkwNA==/videos?,new_tudou
娱乐星天地,https://id.tudou.com/i/UMzcyNTE2OTE2/videos?,new_tudou
财经早班车,https://id.tudou.com/i/UNjEzNDkxMzY=/videos?,new_tudou
金星秀官方,https://id.tudou.com/i/UMzMwODkyMTkwMA==/videos?,new_tudou
看看新闻Knews,https://id.tudou.com/i/UNDcwNjk3NTQ4MA==/videos?,new_tudou
